BenchmarkMetricsCallback	HAS_METHOD	on_predict_batch_end
BenchmarkMetricsCallback	HAS_METHOD	on_predict_batch_begin
BenchmarkMetricsCallback	HAS_METHOD	on_train_batch_end
BenchmarkMetricsCallback	HAS_METHOD	on_train_batch_begin
BenchmarkMetricsCallback	HAS_METHOD	__init__
KerasCoreBenchmarkMetricsCallback	HAS_METHOD	on_predict_batch_end
KerasCoreBenchmarkMetricsCallback	HAS_METHOD	on_predict_batch_begin
KerasCoreBenchmarkMetricsCallback	HAS_METHOD	on_train_batch_end
KerasCoreBenchmarkMetricsCallback	HAS_METHOD	on_train_batch_begin
KerasCoreBenchmarkMetricsCallback	HAS_METHOD	__init__
TFKerasBenchmarkMetricsCallback	HAS_METHOD	on_predict_batch_end
TFKerasBenchmarkMetricsCallback	HAS_METHOD	on_predict_batch_begin
TFKerasBenchmarkMetricsCallback	HAS_METHOD	on_train_batch_end
TFKerasBenchmarkMetricsCallback	HAS_METHOD	on_train_batch_begin
TFKerasBenchmarkMetricsCallback	HAS_METHOD	__init__
LayerBenchmark	HAS_METHOD	benchmark_train
LayerBenchmark	HAS_METHOD	benchmark_predict
LayerBenchmark	HAS_METHOD	_build_tf_keras_model
LayerBenchmark	HAS_METHOD	_build_keras_model
LayerBenchmark	HAS_METHOD	__init__
TorchModel	HAS_METHOD	forward
TorchModel	HAS_METHOD	__init__
MyDense	HAS_METHOD	get_config
MyDense	INHERITS	LayerWithCustomSaving
MyDense	HAS_METHOD	two
MyDense	HAS_METHOD	call
MyDense	HAS_METHOD	build
MyDense	HAS_METHOD	__init__
MyModel	HAS_METHOD	compute_loss
MyModel	INHERITS	Model
MyModel	HAS_METHOD	build
MyModel	HAS_METHOD	forward
MyModel	HAS_METHOD	call
MyModel	HAS_METHOD	__init__
MyDropout	HAS_METHOD	call
MyDropout	HAS_METHOD	__init__
CustomModel	HAS_METHOD	get_config
CustomModel	INHERITS	Model
CustomModel	HAS_METHOD	call
CustomModel	HAS_METHOD	build
CustomModel	HAS_METHOD	test_step
CustomModel	HAS_METHOD	metrics
CustomModel	HAS_METHOD	__init__
CustomModel	HAS_METHOD	train_step
CustomModel	HAS_METHOD	compute_loss_and_updates
GAN	HAS_METHOD	train_step
GAN	HAS_METHOD	compile
GAN	HAS_METHOD	metrics
GAN	HAS_METHOD	__init__
CustomDense	HAS_METHOD	get_config
CustomDense	HAS_METHOD	call
CustomDense	HAS_METHOD	build
CustomDense	HAS_METHOD	__init__
CustomRNN	HAS_METHOD	call
CustomRNN	HAS_METHOD	__init__
Linear	HAS_METHOD	get_config
Linear	HAS_METHOD	build
Linear	HAS_METHOD	call
Linear	HAS_METHOD	__init__
ComputeSum	HAS_METHOD	call
ComputeSum	HAS_METHOD	__init__
MLPBlock	HAS_METHOD	call
MLPBlock	HAS_METHOD	__init__
ActivityRegularizationLayer	HAS_METHOD	call
ActivityRegularizationLayer	HAS_METHOD	__init__
OuterLayer	HAS_METHOD	call
OuterLayer	HAS_METHOD	__init__
OuterLayerWithKernelRegularizer	HAS_METHOD	call
OuterLayerWithKernelRegularizer	HAS_METHOD	__init__
CustomDropout	HAS_METHOD	call
CustomDropout	HAS_METHOD	__init__
Sampling	HAS_METHOD	call
Encoder	HAS_METHOD	encode
Encoder	HAS_METHOD	default
Encoder	HAS_METHOD	call
Encoder	HAS_METHOD	__init__
Decoder	HAS_METHOD	call
Decoder	HAS_METHOD	__init__
VariationalAutoEncoder	HAS_METHOD	call
VariationalAutoEncoder	HAS_METHOD	__init__
CustomMSE	HAS_METHOD	call
CustomMSE	HAS_METHOD	__init__
CategoricalTruePositives	HAS_METHOD	reset_state
CategoricalTruePositives	HAS_METHOD	result
CategoricalTruePositives	HAS_METHOD	update_state
CategoricalTruePositives	HAS_METHOD	__init__
LogisticEndpoint	HAS_METHOD	call
LogisticEndpoint	HAS_METHOD	__init__
ExamplePyDataset	HAS_METHOD	num_batches
ExamplePyDataset	HAS_METHOD	__getitem__
ExamplePyDataset	HAS_METHOD	__len__
ExamplePyDataset	HAS_METHOD	__init__
ExampleTorchDataset	HAS_METHOD	__getitem__
ExampleTorchDataset	HAS_METHOD	__len__
ExampleTorchDataset	HAS_METHOD	__init__
LossHistory	HAS_METHOD	on_batch_end
LossHistory	HAS_METHOD	on_train_begin
MyLayer	HAS_METHOD	from_config
MyLayer	HAS_METHOD	get_config
MyLayer	HAS_METHOD	custom_change_dtype
MyLayer	HAS_METHOD	custom_remove_w
MyLayer	HAS_METHOD	call
MyLayer	HAS_METHOD	__init__
TemporalSplit	HAS_METHOD	compute_mask
TemporalSplit	HAS_METHOD	call
CustomEmbedding	HAS_METHOD	compute_mask
CustomEmbedding	HAS_METHOD	call
CustomEmbedding	HAS_METHOD	build
CustomEmbedding	HAS_METHOD	__init__
MyActivation	HAS_METHOD	call
MyActivation	HAS_METHOD	__init__
TemporalSoftmax	HAS_METHOD	call
TemporalSoftmax	HAS_METHOD	__init__
CustomCallback	INHERITS	Callback
CustomCallback	HAS_METHOD	on_predict_batch_end
CustomCallback	HAS_METHOD	on_predict_batch_begin
CustomCallback	HAS_METHOD	on_test_batch_end
CustomCallback	HAS_METHOD	on_test_batch_begin
CustomCallback	HAS_METHOD	on_train_batch_end
CustomCallback	HAS_METHOD	on_train_batch_begin
CustomCallback	HAS_METHOD	on_predict_end
CustomCallback	HAS_METHOD	on_predict_begin
CustomCallback	HAS_METHOD	on_test_end
CustomCallback	HAS_METHOD	on_test_begin
CustomCallback	HAS_METHOD	on_epoch_end
